Name,AvgCyclomaticModified,AvgCyclomatic,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
ASTAttribute.java,1,1,1,1,2,0,2,0,5,5,0,5,0,0,0,5,40,7,20,11,7,13,12,16,11,5,3,3,3,0.65,7,7,7,5
ASTBatchParser.java,3,3,3,1,19,3,16,0,4,2,2,4,0,2,1,1,175,22,108,40,71,46,74,91,43,48,6,6,6,0.43,15,15,15,6
ASTCreator.java,1,1,1,1,5,0,5,0,4,1,0,4,0,2,0,2,53,10,32,17,14,12,21,27,17,10,2,2,2,0.38,5,5,5,4
ASTFlattener.java,2,2,2,1,12,0,11,2,90,89,1,90,0,1,1,88,1683,101,1260,333,730,543,758,967,297,670,17,17,17,0.43,255,255,258,90
ASTFragment.java,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,28,4,5,4,0,19,3,4,4,0,1,1,1,3.8,1,1,1,1
ASTFragmentFactory.java,1,1,1,1,4,0,4,0,19,10,4,19,0,5,5,9,201,26,113,48,46,62,55,83,43,40,3,3,3,0.55,24,24,27,21
ASTMatchingFragmentFinder.java,1,1,1,1,4,0,4,0,6,5,2,6,0,3,1,2,57,10,37,18,13,10,21,29,17,12,2,2,2,0.27,7,7,7,6
ASTNodeDeleteUtil.java,3,3,3,2,12,0,12,0,7,2,0,7,0,5,1,1,128,12,104,40,54,12,60,84,44,40,10,10,12,0.12,24,24,27,16
ASTNodeFactory.java,3,3,3,2,14,0,13,0,16,3,0,16,0,1,1,14,384,39,272,119,175,86,184,235,122,113,12,12,17,0.32,48,48,55,38
ASTNodeSearchUtil.java,1,2,2,1,6,0,6,0,27,1,0,27,0,3,0,24,274,36,219,86,114,19,119,173,89,84,10,10,18,0.09,59,53,68,40
ASTNodes.java,2,2,3,2,10,0,10,0,65,10,1,65,0,4,2,59,991,101,726,236,466,181,387,565,244,321,13,12,17,0.25,192,184,226,143
ASTProvider.java,2,2,3,1,10,1,9,1,35,31,8,35,4,11,0,20,637,105,352,94,217,208,171,280,97,183,22,22,30,0.59,95,95,131,54
ASTResolving.java,5,6,7,5,22,0,21,0,44,3,2,44,0,9,0,35,1143,75,1012,227,669,81,502,725,238,487,67,37,74,0.08,290,222,327,227
ASTRewriteCorrectionProposal.java,1,1,1,1,5,0,5,0,7,7,2,7,0,0,2,5,141,17,58,28,21,67,32,44,27,17,4,4,4,1.16,11,11,11,7
